event-id,visible,timestamp,long,lat,location-error-text,sensor-type,individual-taxon-canonical-name,swallow_id,individual-local-identifier,study-name
2549644625,TRUE,09:08.0,-49.88,-15.75,-18.45:-50.03:-10.8:-49.37,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644626,TRUE,55:27.0,-49.88,-15.75,-18.45:-50.03:-10.8:-49.37,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644627,TRUE,02:50.0,-49.88,-15.3,-18.45:-50.03:-10.8:-49.43,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644628,TRUE,57:44.0,-49.9,-15.3,-18.45:-50.03:-10.8:-49.56,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644629,TRUE,06:21.0,-49.91,-14.85,-18.45:-50.03:-10.8:-49.56,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644630,TRUE,55:03.0,-49.9,-15.3,-18.45:-50.03:-10.8:-49.67,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644631,TRUE,07:50.0,-49.91,-14.85,-18.45:-50.03:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644632,TRUE,51:40.0,-49.91,-14.85,-18.45:-50.03:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644633,TRUE,05:42.0,-49.91,-14.85,-18.45:-50.03:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644634,TRUE,54:34.0,-49.91,-14.85,-18.45:-50.03:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644635,TRUE,04:32.0,-49.91,-13.5,-18.45:-50.03:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644636,TRUE,49:33.0,-49.88,-15.75,-18.45:-50.03:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644637,TRUE,11:21.0,-49.88,-15.3,-18.45:-50.11:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644638,TRUE,51:03.0,-49.88,-15.75,-18.45:-50.18:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644639,TRUE,09:08.0,-49.88,-15.75,-18.45:-50.18:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644640,TRUE,50:31.0,-49.88,-15.75,-18.45:-50.18:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644641,TRUE,06:21.0,-49.9,-15.75,-18.45:-50.19:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644642,TRUE,09:32.0,-49.9,-15.75,-18.45:-50.19:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644643,TRUE,47:44.0,-49.9,-15.75,-18.45:-50.18:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644644,TRUE,12:35.0,-49.9,-15.3,-18.45:-50.18:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644645,TRUE,47:11.0,-49.9,-15.3,-18.45:-50.17:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644646,TRUE,18:04.0,-49.9,-15.3,-18.45:-50.18:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
